Customer_ID,Transaction_Date,Transaction_Amount,Product_Category,Channel,Region
B0001,2024-06-10,118.50,Electronics,web,NA
B0001,2024-07-15,82.25,Clothing,mobile,NA
B0001,2024-08-20,195.00,Electronics,web,NA
B0001,2024-09-10,42.75,Home,store,NA
B0001,2024-10-22,145.50,Electronics,web,NA
B0001,2024-11-18,92.25,Clothing,mobile,NA
B0001,2024-12-12,168.00,Electronics,web,NA
B0001,2025-01-05,125.50,Home,web,NA
B0002,2024-06-05,72.90,Clothing,store,EU
B0002,2024-07-18,138.25,Electronics,web,EU
B0002,2024-08-22,48.00,Home,mobile,EU
B0002,2024-09-12,152.75,Electronics,web,EU
B0002,2024-10-08,78.50,Clothing,store,EU
B0002,2024-11-25,125.00,Electronics,web,EU
B0002,2024-12-18,98.25,Home,mobile,EU
B0002,2025-01-08,145.50,Electronics,web,EU
B0003,2024-06-18,195.00,Electronics,web,APAC
B0003,2024-07-25,58.50,Clothing,mobile,APAC
B0003,2024-08-10,158.25,Home,web,APAC
B0003,2024-09-22,82.00,Clothing,store,APAC
B0003,2024-10-15,168.50,Electronics,web,APAC
B0003,2024-11-05,75.75,Home,mobile,APAC
B0003,2024-12-08,185.00,Electronics,web,APAC
B0003,2025-01-02,112.25,Clothing,web,APAC
B0004,2024-06-12,48.25,Home,store,LATAM
B0004,2024-07-22,128.00,Electronics,web,LATAM
B0004,2024-08-28,65.50,Clothing,mobile,LATAM
B0004,2024-09-08,178.75,Electronics,web,LATAM
B0004,2024-10-28,72.00,Home,store,LATAM
B0004,2024-11-15,145.50,Electronics,web,LATAM
B0004,2024-12-22,95.25,Clothing,mobile,LATAM
B0004,2025-01-10,165.00,Electronics,web,LATAM
B0005,2024-06-25,152.50,Electronics,web,NA
B0005,2024-07-10,85.25,Clothing,store,NA
B0005,2024-08-18,218.00,Electronics,mobile,NA
B0005,2024-09-15,62.75,Home,web,NA
B0005,2024-10-30,185.50,Electronics,web,NA
B0005,2024-11-12,108.25,Clothing,store,NA
B0005,2024-12-08,225.00,Electronics,web,NA
B0005,2025-01-05,142.50,Home,mobile,NA
B0006,2024-06-08,92.00,Clothing,mobile,EU
B0006,2024-07-28,165.50,Electronics,web,EU
B0006,2024-08-15,55.25,Home,store,EU
B0006,2024-09-25,198.00,Electronics,web,EU
B0006,2024-10-10,98.75,Clothing,mobile,EU
B0006,2024-11-22,175.50,Electronics,web,EU
B0006,2024-12-15,118.25,Home,store,EU
B0006,2025-01-08,195.00,Electronics,web,EU
B0007,2024-06-15,138.25,Electronics,web,APAC
B0007,2024-07-05,68.50,Clothing,store,APAC
B0007,2024-08-25,182.00,Electronics,mobile,APAC
B0007,2024-09-10,45.75,Home,web,APAC
B0007,2024-10-18,155.50,Electronics,web,APAC
B0007,2024-11-08,85.25,Clothing,store,APAC
B0007,2024-12-28,198.00,Electronics,web,APAC
B0007,2025-01-10,125.50,Home,mobile,APAC
B0008,2024-06-20,78.50,Home,store,LATAM
B0008,2024-07-30,148.25,Electronics,web,LATAM
B0008,2024-08-10,38.00,Clothing,mobile,LATAM
B0008,2024-09-18,208.75,Electronics,web,LATAM
B0008,2024-10-12,68.50,Home,store,LATAM
B0008,2024-11-28,165.25,Electronics,web,LATAM
B0008,2024-12-15,108.00,Clothing,mobile,LATAM
B0008,2025-01-05,185.50,Electronics,web,LATAM
B0009,2024-06-28,168.00,Electronics,web,NA
B0009,2024-07-12,75.50,Clothing,mobile,NA
B0009,2024-08-30,228.25,Electronics,web,NA
B0009,2024-09-08,88.75,Home,store,NA
B0009,2024-10-25,195.00,Electronics,web,NA
B0009,2024-11-15,125.25,Clothing,mobile,NA
B0009,2024-12-20,245.50,Electronics,web,NA
B0009,2025-01-08,158.00,Home,web,NA
B0010,2024-06-05,105.25,Clothing,store,EU
B0010,2024-07-18,185.50,Electronics,web,EU
B0010,2024-08-22,52.00,Home,mobile,EU
B0010,2024-09-30,218.75,Electronics,web,EU
B0010,2024-10-08,115.50,Clothing,store,EU
B0010,2024-11-25,198.25,Electronics,web,EU
B0010,2024-12-10,145.00,Home,mobile,EU
B0010,2025-01-12,225.50,Electronics,web,EU
B0011,2024-06-15,148.50,Electronics,mobile,APAC
B0011,2024-07-08,62.25,Clothing,web,APAC
B0011,2024-08-18,205.00,Electronics,web,APAC
B0011,2024-09-12,75.75,Home,store,APAC
B0011,2024-10-22,168.50,Electronics,web,APAC
B0011,2024-11-30,92.25,Clothing,mobile,APAC
B0011,2024-12-18,215.00,Electronics,web,APAC
B0011,2025-01-05,138.50,Home,web,APAC
B0012,2024-06-20,65.00,Home,store,LATAM
B0012,2024-07-25,158.50,Electronics,web,LATAM
B0012,2024-08-08,42.25,Clothing,mobile,LATAM
B0012,2024-09-22,195.75,Electronics,web,LATAM
B0012,2024-10-05,82.50,Home,store,LATAM
B0012,2024-11-12,165.25,Electronics,web,LATAM
B0012,2024-12-25,105.00,Clothing,mobile,LATAM
B0012,2025-01-10,195.50,Electronics,web,LATAM
B0013,2024-06-10,175.25,Electronics,web,NA
B0013,2024-07-15,88.50,Clothing,store,NA
B0013,2024-08-25,242.00,Electronics,mobile,NA
B0013,2024-09-18,98.75,Home,web,NA
B0013,2024-10-30,218.50,Electronics,web,NA
B0013,2024-11-08,135.25,Clothing,store,NA
B0013,2024-12-12,275.00,Electronics,web,NA
B0013,2025-01-02,165.50,Home,mobile,NA
B0014,2024-06-25,118.50,Clothing,mobile,EU
B0014,2024-07-30,198.25,Electronics,web,EU
B0014,2024-08-15,65.00,Home,store,EU
B0014,2024-09-08,235.75,Electronics,web,EU
B0014,2024-10-18,128.50,Clothing,mobile,EU
B0014,2024-11-22,215.25,Electronics,web,EU
B0014,2024-12-08,158.00,Home,store,EU
B0014,2025-01-08,248.50,Electronics,web,EU
B0015,2024-06-05,158.75,Electronics,web,APAC
B0015,2024-07-10,72.50,Clothing,store,APAC
B0015,2024-08-28,212.25,Electronics,mobile,APAC
B0015,2024-09-15,88.00,Home,web,APAC
B0015,2024-10-25,185.50,Electronics,web,APAC
B0015,2024-11-05,112.25,Clothing,store,APAC
B0015,2024-12-22,232.00,Electronics,web,APAC
B0015,2025-01-12,152.50,Home,mobile,APAC
B0016,2024-06-18,85.50,Home,store,LATAM
B0016,2024-07-22,165.00,Electronics,web,LATAM
B0016,2024-08-10,52.25,Clothing,mobile,LATAM
B0016,2024-09-25,195.75,Electronics,web,LATAM
