Customer_ID,Transaction_Date,Transaction_Amount,Product_Category,Channel,Region
T0001,2024-06-15,125.50,Electronics,web,NA
T0001,2024-07-20,89.25,Clothing,mobile,NA
T0001,2024-08-10,210.00,Electronics,web,NA
T0001,2024-09-05,45.75,Home,store,NA
T0001,2024-10-18,320.50,Electronics,web,NA
T0001,2024-11-22,180.25,Clothing,mobile,NA
T0001,2024-12-15,450.00,Electronics,web,NA
T0001,2025-01-08,275.50,Home,web,NA
T0002,2024-06-08,78.90,Clothing,store,EU
T0002,2024-07-12,145.25,Electronics,web,EU
T0002,2024-08-25,55.00,Home,mobile,EU
T0002,2024-09-18,185.75,Electronics,web,EU
T0002,2024-10-05,92.50,Clothing,store,EU
T0002,2024-11-28,240.00,Electronics,web,EU
T0002,2024-12-20,165.25,Home,mobile,EU
T0002,2025-01-10,310.50,Electronics,web,EU
T0003,2024-06-22,210.00,Electronics,web,APAC
T0003,2024-07-30,65.50,Clothing,mobile,APAC
T0003,2024-08-15,175.25,Home,web,APAC
T0003,2024-09-28,95.00,Clothing,store,APAC
T0003,2024-10-12,280.50,Electronics,web,APAC
T0003,2024-11-08,120.75,Home,mobile,APAC
T0003,2024-12-05,385.00,Electronics,web,APAC
T0003,2025-01-05,195.25,Clothing,web,APAC
T0004,2024-06-10,55.25,Home,store,LATAM
T0004,2024-07-18,135.00,Electronics,web,LATAM
T0004,2024-08-28,72.50,Clothing,mobile,LATAM
T0004,2024-09-15,195.75,Electronics,web,LATAM
T0004,2024-10-25,88.00,Home,store,LATAM
T0004,2024-11-18,265.50,Electronics,web,LATAM
T0004,2024-12-28,148.25,Clothing,mobile,LATAM
T0004,2025-01-12,345.00,Electronics,web,LATAM
T0005,2024-06-28,165.50,Electronics,web,NA
T0005,2024-07-08,92.25,Clothing,store,NA
T0005,2024-08-20,235.00,Electronics,mobile,NA
T0005,2024-09-10,68.75,Home,web,NA
T0005,2024-10-30,310.50,Electronics,web,NA
T0005,2024-11-15,155.25,Clothing,store,NA
T0005,2024-12-10,420.00,Electronics,web,NA
T0005,2025-01-02,225.50,Home,mobile,NA
T0006,2024-06-05,98.00,Clothing,mobile,EU
T0006,2024-07-25,178.50,Electronics,web,EU
T0006,2024-08-12,62.25,Home,store,EU
T0006,2024-09-22,215.00,Electronics,web,EU
T0006,2024-10-08,105.75,Clothing,mobile,EU
T0006,2024-11-25,285.50,Electronics,web,EU
T0006,2024-12-18,142.25,Home,store,EU
T0006,2025-01-08,365.00,Electronics,web,EU
T0007,2024-06-18,142.25,Electronics,web,APAC
T0007,2024-07-05,75.50,Clothing,store,APAC
T0007,2024-08-22,195.00,Electronics,mobile,APAC
T0007,2024-09-08,52.75,Home,web,APAC
T0007,2024-10-20,255.50,Electronics,web,APAC
T0007,2024-11-05,118.25,Clothing,store,APAC
T0007,2024-12-25,350.00,Electronics,web,APAC
T0007,2025-01-10,188.50,Home,mobile,APAC
T0008,2024-06-12,85.50,Home,store,LATAM
T0008,2024-07-28,158.25,Electronics,web,LATAM
T0008,2024-08-08,45.00,Clothing,mobile,LATAM
T0008,2024-09-25,225.75,Electronics,web,LATAM
T0008,2024-10-15,78.50,Home,store,LATAM
T0008,2024-11-30,295.25,Electronics,web,LATAM
T0008,2024-12-12,165.00,Clothing,mobile,LATAM
T0008,2025-01-05,380.50,Electronics,web,LATAM
T0009,2024-06-25,178.00,Electronics,web,NA
T0009,2024-07-15,82.50,Clothing,mobile,NA
T0009,2024-08-30,245.25,Electronics,web,NA
T0009,2024-09-12,95.75,Home,store,NA
T0009,2024-10-28,335.00,Electronics,web,NA
T0009,2024-11-10,172.25,Clothing,mobile,NA
T0009,2024-12-22,455.50,Electronics,web,NA
T0009,2025-01-08,248.00,Home,web,NA
T0010,2024-06-08,112.25,Clothing,store,EU
T0010,2024-07-22,195.50,Electronics,web,EU
T0010,2024-08-18,58.00,Home,mobile,EU
T0010,2024-09-30,238.75,Electronics,web,EU
T0010,2024-10-12,125.50,Clothing,store,EU
T0010,2024-11-22,318.25,Electronics,web,EU
T0010,2024-12-08,185.00,Home,mobile,EU
T0010,2025-01-12,395.50,Electronics,web,EU
T0011,2024-06-20,155.50,Electronics,mobile,APAC
T0011,2024-07-10,68.25,Clothing,web,APAC
T0011,2024-08-25,218.00,Electronics,web,APAC
T0011,2024-09-05,82.75,Home,store,APAC
T0011,2024-10-18,278.50,Electronics,web,APAC
T0011,2024-11-28,138.25,Clothing,mobile,APAC
T0011,2024-12-15,368.00,Electronics,web,APAC
T0011,2025-01-05,205.50,Home,web,APAC
T0012,2024-06-15,72.00,Home,store,LATAM
T0012,2024-07-28,168.50,Electronics,web,LATAM
T0012,2024-08-10,48.25,Clothing,mobile,LATAM
T0012,2024-09-20,208.75,Electronics,web,LATAM
T0012,2024-10-05,92.50,Home,store,LATAM
T0012,2024-11-15,275.25,Electronics,web,LATAM
T0012,2024-12-28,152.00,Clothing,mobile,LATAM
T0012,2025-01-10,358.50,Electronics,web,LATAM
T0013,2024-06-28,188.25,Electronics,web,NA
T0013,2024-07-08,95.50,Clothing,store,NA
T0013,2024-08-20,258.00,Electronics,mobile,NA
T0013,2024-09-15,108.75,Home,web,NA
T0013,2024-10-30,348.50,Electronics,web,NA
T0013,2024-11-12,182.25,Clothing,store,NA
T0013,2024-12-05,475.00,Electronics,web,NA
T0013,2025-01-02,262.50,Home,mobile,NA
T0014,2024-06-10,125.50,Clothing,mobile,EU
T0014,2024-07-25,212.25,Electronics,web,EU
T0014,2024-08-12,72.00,Home,store,EU
T0014,2024-09-28,252.75,Electronics,web,EU
T0014,2024-10-15,138.50,Clothing,mobile,EU
T0014,2024-11-25,332.25,Electronics,web,EU
T0014,2024-12-18,198.00,Home,store,EU
T0014,2025-01-08,415.50,Electronics,web,EU
T0015,2024-06-22,168.75,Electronics,web,APAC
T0015,2024-07-12,78.50,Clothing,store,APAC
T0015,2024-08-28,228.25,Electronics,mobile,APAC
T0015,2024-09-08,95.00,Home,web,APAC
T0015,2024-10-22,298.50,Electronics,web,APAC
T0015,2024-11-08,152.25,Clothing,store,APAC
T0015,2024-12-25,388.00,Electronics,web,APAC
T0015,2025-01-12,218.50,Home,mobile,APAC
